edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0103,Dark Side,subarea,SenobiTowerYoshiExStage::entrance::SeaWorldEX3a::sub_near,SenobiTowerYoshiExStage::place::new_place,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0104,Dark Side,subarea,SenobiTowerYoshiExStage::place::new_place,SenobiTowerYoshiExStage::entrance::SeaWorldEX3b::sub_far,Yoshi | (WallJump & Dive & NeutralThrow) | (WallJump & Dive & UpThrow) | (Vault & Dive & NeutralThrow) | (Backflip & WallJump & LedgeGrab),,human_route,casual;advanced;advanced;advanced;advanced,false,editor,Created in graph editor.,,
edge_user_0105,Dark Side,subarea,SenobiTowerYoshiExStage::entrance::SeaWorldEX3b::sub_far,SenobiTowerYoshiExStage::place::new_place,(Vault & NeutralThrow),,human_route,expert,false,editor,Reverse of edge_user_0104.,,
edge_user_0102,Dark Side,subarea,ShootingCityYoshiExStage::entrance::taxi::sub_near,ShootingCityYoshiExStage::entrance::taxireturn::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0377,Dark Side,overworld,Special1WorldHomeStage::start,Special1WorldHomeStage::place::new_place,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0415,Dark Side,overworld,Special1WorldHomeStage::place::new_place,Special1WorldHomeStage::entrance::LavaWorldUpDownYoshiEx::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0416,Dark Side,overworld,Special1WorldHomeStage::place::new_place,Special1WorldHomeStage::entrance::PackunPoisonNoCapEx::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0417,Dark Side,overworld,Special1WorldHomeStage::place::new_place,Special1WorldHomeStage::entrance::ShootingCityYoshiEx::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0418,Dark Side,overworld,Special1WorldHomeStage::place::new_place,Special1WorldHomeStage::entrance::SenobiTowerYoshiEx::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0419,Dark Side,overworld,Special1WorldHomeStage::place::new_place,Special1WorldHomeStage::entrance::BikeSteelNoCapEx::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0420,Dark Side,overworld,Special1WorldHomeStage::start,Special1WorldHomeStage::entrance::KillerRoadNoCapEx::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0421,Dark Side,overworld,Special1WorldHomeStage::place::new_place,Special1WorldHomeStage::entrance::StackerRoomStart::home_in,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0422,Dark Side,overworld,Special1WorldHomeStage::entrance::StackerRoomStart::home_in,Special1WorldHomeStage::entrance::BombTailRoomStart::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0423,Dark Side,overworld,Special1WorldHomeStage::entrance::BombTailRoomStart::home_in,Special1WorldHomeStage::entrance::FireBlowerRoomStart::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0424,Dark Side,overworld,Special1WorldHomeStage::entrance::CapThrowerRoomStart::home_in,Special1WorldHomeStage::entrance::FireBlowerRoomStart::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0425,Dark Side,subarea,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0426,Dark Side,subarea,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx::sub_near,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx_Exit::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0427,Dark Side,subarea,Special1WorldTowerBombTailStage::entrance::BombTailRoomGoal::sub_far,Special1WorldTowerBombTailStage::entrance::BombTailRoomStart::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
